Driver,PC1,PC2
ALB,-2.20075499346963,-0.6286537521693161
ALO,-0.3111164991782436,1.0383922068434814
ANT,1.8034886087679018,-0.29743828711588116
BEA,-1.7622940151760524,-0.024235920872922874
BOR,-2.1895813349850126,-2.5013813616768314
COL,-3.758265909303023,-1.004159406558789
DOO,-3.80081350698922,4.797882976580624
GAS,0.05909398573148557,0.9776951715588952
HAD,1.528659902686747,-1.7153893948202261
HAM,-0.7910111091648534,-4.68805103428218
HUL,-0.6882407464022358,-0.06370313262915904
LAW,0.2071192592385515,0.424747738289072
LEC,3.2517997270206234,-3.201136294890761
NOR,5.935731685592807,2.861576289924169
OCO,-4.917150947610739,1.1155076488597575
PIA,6.613817963993669,3.2618215406792417
RUS,3.171581714701379,-2.55803137073463
SAI,-1.0231111890375177,-0.7685309698335021
STR,-4.2414911418721895,2.632374953920291
TSU,-0.566900697383451,-0.404303090093839
VER,3.679439242839006,0.745015489022506
