Driver,Avg_Speed,Max_Speed,Avg_Throttle,Brake_Pct,Avg_RPM,Brake_Zones,Brake_Time_Pct,Mean_Entry_Speed,Mean_Apex_Speed,Mean_Exit_Speed,Mean_Brake_Duration,Std_Brake_Duration,Mean_Peak_Decel,Max_Peak_Decel,Sector1_Ratio,Sector2_Ratio,Sector3_Ratio,Speed_Pct_10,Speed_Pct_20,Speed_Pct_30,Speed_Pct_40,Speed_Pct_50,Speed_Pct_60,Speed_Pct_70,Speed_Pct_80,Speed_Pct_90,Brake_First_Third,Brake_Mid_Third,Brake_Last_Third
ALB,-0.103501174612459,0.1771818764799804,-0.42882724631867936,0.7019667499396803,-0.548098265497927,-0.16731916239804412,0.15473907749148677,-0.0774553916705568,-0.207996561401967,-0.194619539962943,0.28572393976753235,0.3518707833884698,-0.332308786014937,0.0,0.06516450268996687,-0.0873275001756529,0.3923638151287732,0.1734079809277498,-0.0928456349519029,0.15178716320397348,-0.1768209830408405,-0.01985655272363292,-0.22773435258540822,0.043680558277507366,-0.432588611711419,-0.313320386205143,0.3996405107332078,0.4230423187532178,0.5431274382899169
ALO,-0.07265721270750229,-0.14495491954366357,-0.39030123123712884,-0.10667082198633453,0.6253472787034119,0.13306755593092398,0.31477023148852984,0.06918706968536448,0.12578565551179402,0.12264189260354637,0.05884998382780197,0.14510770266368647,0.11451495484211578,0.0,-0.15683828892275406,0.01337190544507831,0.1703181445926678,0.12721564150662804,0.01154625228643178,-0.024303396762770418,-0.48993802789720803,-0.1062983263987291,0.05008240838511734,-0.0033312414415326377,-0.2615210545625463,0.003679428815384564,-0.027626676815901963,0.2490618865952109,-0.31886519864520546
ANT,-0.17817333512211822,0.22273283559801227,0.1909653175683392,-0.26210819536774915,1.6468792513659105,0.09749620695558014,-0.33677739240726917,-0.12799432107680078,0.3736535851049352,0.38689136214662606,-0.3579654639142949,0.1697381949293273,0.0664064178812617,0.0,-0.046363692260994085,0.08828969289966769,-0.2914360050213056,-0.35726988014599415,0.20307182723978012,0.029928779527799116,0.051368953849248195,0.09631238422457904,-0.09066213402247147,0.040704134343437365,0.36084932678692144,-0.0834639489193481,-0.18760494258149976,-0.28421677769325104,-0.07241875310809827
BEA,-0.23018795987887575,-0.6520558861197435,-0.023978589065312562,0.9744533126327136,0.061148878268457205,-0.03826380894160308,0.2710361202756831,0.23383581845646387,0.03345542462442294,0.028943294340948854,0.2319912992198881,-0.4244843211037047,-0.12495499601069424,0.0,-0.3032958612581092,-0.3667045835146003,0.09683673253070525,0.24519581197287382,-0.3809069234950778,0.029631339229075532,-0.21295991976490586,-0.13525836252659265,0.2734324296330546,-0.25720250260769145,-0.320626584262459,-0.08491310629225077,0.5101637106189185,0.49051566921891876,0.7328591286233821
BOR,-0.19175400909470497,0.2520964956980283,-0.19457168916652318,0.28517451633760316,0.12860082509295942,-0.3351792693633125,0.17934438524042423,0.07011896635451169,-0.556667132683057,-0.5621422536439686,0.5411759993592711,-0.14763326886551423,-0.45982361890635226,0.0,0.2565894784448557,-0.04335804450293739,0.2680870918369866,-0.22914347194654586,-0.347532470839656,-0.08518313755017722,-0.2122250122418199,-0.34424518259164605,-0.23003976875991908,0.2095630889538322,-0.102369908034162,0.016803750360020357,-0.05527994005368821,0.14816021903497326,0.5522223387280313
COL,-0.9615798975275577,0.21115324000446975,-0.37038489058923774,0.13367134467841588,-0.9048822921887789,-0.04737344527788815,0.3966860977563732,-0.0035801790806921177,-0.19807842785681573,-0.19984480314424038,0.5348098126852315,-0.040991109121836754,-0.05588598833067678,0.0,-0.31782630855261385,0.09963482947907194,0.34509816065948273,-0.5567941809742525,-0.08735647778660392,-0.32319293058148335,-0.42269186018007704,0.13834879701914363,-0.7471289216754543,-0.5137750935659464,-0.29371507400283686,-0.060386121458755944,0.3716284393464593,-0.16872579812133903,0.1741065623876861
DOO,-0.6546279178915554,0.4669868821541392,-0.6763766715430889,0.27688875138722446,-0.9389774182619423,0.3029908511710353,1.4446891349098847,0.5896461314984025,0.3394530626104235,0.33606441349626753,0.6490680240190579,1.009315326105858,1.0157166549588206,0.0,-0.26155532894571143,-0.025511910841397627,0.6613822804886551,0.13752647503434007,-0.5659988399810428,0.16469904995937337,-0.19555238683269816,-0.7922597368844881,0.5922388322665785,-0.3583443121962581,-0.34521706780114436,-0.17882514589045595,-0.22091372040792512,0.9402970970957396,0.026445545349728455
GAS,-0.0955030401540889,0.04214553559414214,0.4670302876305154,-0.4358126399410029,0.09377471205822104,0.07013438000774497,0.3243028096388862,-0.00425735140841418,0.33210449924289775,0.3273460338715909,0.1737797888272443,0.109547862692864,0.4342711399910757,0.0,-0.10305487497796668,0.08049431140239442,0.0927761928615079,-0.09121616173304103,0.13897966166421563,0.09780807196517849,-0.1682919245259228,-0.3675127974991527,-0.13370183263447877,0.09443326929714661,-0.17549107163101954,-0.22637731909647793,-0.30183967801877654,-0.24526573330172907,-0.319783332216028
HAD,0.24300281285693287,-0.11210779759342195,0.615265110411212,-0.5938891376592357,-0.5187936120347795,-0.33963157579870634,-0.39138663791314304,0.17457759005433982,-0.06708243221254725,-0.06322096825344867,0.15419075037599686,0.1332106848334865,-0.32704461893180803,0.0,0.39033385045912883,0.31199041072766687,-0.02351750665840239,-0.20771711292354234,0.33500387261725295,-0.08655223678783827,-0.013164714109212616,-0.038042594824993094,0.2013358559702042,0.2949307496700354,0.22184579585955197,-0.15220450526937493,-0.4658183391607614,-0.40088597720491803,-0.34003458097289596
HAM,0.16324835641698057,0.11556588968882424,1.0893182756727395,1.2167266613251675,0.32008967780340186,-0.23879161164997778,-0.04551754906082286,0.5246789197436417,-0.07887361583289361,-0.08515991507403137,0.09419295063946549,-0.5633345291640491,-0.4571862675841225,0.0,0.1218503494213006,0.1665700420003509,-0.32703041185837284,-0.1673277492657764,-0.0324230351287266,0.15213482535387704,-0.3654943625634021,0.033810494597834966,-0.3273563302114835,0.3054032228171952,0.005903044999272273,0.08589741826093523,0.6577370531480167,1.164833147901027,0.675162589996865
HUL,-0.20814746336745404,0.18695718033297423,0.09085212188303875,-0.1542651827939926,0.34530641369170784,0.08605322504141659,-0.3386828727424282,0.07648681239904691,-0.1961904499405885,-0.20578175663895004,-0.35417389099570573,0.12409618306743538,-0.16619258877629642,0.0,-0.2506468343224167,-0.29325832566831733,0.18833206119547247,-0.1003355492617834,-0.4908658766675027,-0.41403889469809824,-0.37136856763785503,-0.07394763866679473,0.19449217003493888,-0.06302014100944679,0.08535090198671154,0.12697681895824695,0.18205653977842798,-0.3499049240362428,-0.14296173258802716
