k,inertia,silhouette,davies_bouldin,calinski_harabasz
3,373.37509205490414,0.13961221732297965,1.6689045054458507,5.173414650867552
4,326.3749497620639,0.14048470572156893,1.2849447929578894,4.542450186293762
5,286.25608821990545,0.11473818714339841,1.5820323655359942,4.21641913234406
6,249.9314279634766,0.11687753416536373,1.3147487192303626,4.057935908155494
7,212.9791466131213,0.12374667848557315,1.159827622028383,4.108611907870264
8,192.479236869413,0.09927346535597206,1.0697484825499166,3.8161963443257374
